CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,
0.048541,0.400000,0.400000,0.261881,0.262128,0.262145,0.261824,0.261833,
0.038888,0.400000,0.400000,0.266291,0.266540,0.266557,0.266228,0.266234,
0.098779,0.400000,0.400000,0.295499,0.295750,0.295766,0.295437,0.295434,
0.146526,0.400000,0.400000,0.309568,0.309818,0.309835,0.309511,0.309506,
0.115902,0.400000,0.400000,0.289748,0.289997,0.290013,0.289694,0.289698,
0.048599,0.400000,0.400000,0.261905,0.262152,0.262168,0.261849,0.261858,
0.038863,0.400000,0.400000,0.266277,0.266526,0.266542,0.266214,0.266220,
0.098732,0.400000,0.400000,0.295483,0.295733,0.295749,0.295420,0.295417,
0.146537,0.400000,0.400000,0.309581,0.309830,0.309848,0.309524,0.309519,
0.115996,0.400000,0.400000,0.289786,0.290034,0.290051,0.289733,0.289735,
0.048693,0.400000,0.400000,0.261928,0.262175,0.262192,0.261872,0.261881,
0.038878,0.400000,0.400000,0.266267,0.266516,0.266532,0.266204,0.266211,
0.098699,0.400000,0.400000,0.295466,0.295715,0.295731,0.295402,0.295399,
0.146555,0.400000,0.400000,0.309594,0.309844,0.309860,0.309537,0.309532,
0.116090,0.400000,0.400000,0.289830,0.290079,0.290096,0.289777,0.289781,
0.048722,0.400000,0.400000,0.261936,0.262183,0.262198,0.261879,0.261889,
0.038833,0.400000,0.400000,0.266241,0.266489,0.266505,0.266177,0.266184,
0.098646,0.400000,0.400000,0.295446,0.295695,0.295711,0.295384,0.295379,
0.146555,0.400000,0.400000,0.309602,0.309852,0.309869,0.309546,0.309539,
0.116141,0.400000,0.400000,0.289852,0.290100,0.290117,0.289798,0.289800,
0.048791,0.400000,0.400000,0.261961,0.262209,0.262224,0.261905,0.261913,
0.038813,0.400000,0.400000,0.266224,0.266474,0.266488,0.266162,0.266168,
0.098557,0.400000,0.400000,0.295409,0.295659,0.295674,0.295345,0.295343,
0.146495,0.400000,0.400000,0.309584,0.309833,0.309851,0.309526,0.309521,
0.116178,0.400000,0.400000,0.289877,0.290125,0.290142,0.289822,0.289824,
0.048810,0.400000,0.400000,0.261975,0.262222,0.262237,0.261918,0.261927,
0.038747,0.400000,0.400000,0.266195,0.266445,0.266461,0.266133,0.266140,
0.098452,0.400000,0.400000,0.295344,0.295594,0.295610,0.295282,0.295279,
0.146461,0.400000,0.400000,0.309569,0.309818,0.309836,0.309512,0.309507,
0.116204,0.400000,0.400000,0.289894,0.290141,0.290159,0.289840,0.289843,
0.048811,0.400000,0.400000,0.261972,0.262219,0.262236,0.261915,0.261924,
0.038666,0.400000,0.400000,0.266157,0.266406,0.266422,0.266094,0.266100,
0.098365,0.400000,0.400000,0.295342,0.295593,0.295609,0.295280,0.295277,
0.146436,0.400000,0.400000,0.309586,0.309836,0.309853,0.309529,0.309523,
0.116248,0.400000,0.400000,0.289918,0.290166,0.290183,0.289864,0.289867,
0.048854,0.400000,0.400000,0.261986,0.262232,0.262249,0.261929,0.261938,
0.038636,0.400000,0.400000,0.266135,0.266384,0.266401,0.266071,0.266078,
0.098277,0.400000,0.400000,0.295304,0.295554,0.295570,0.295241,0.295238,
0.146410,0.400000,0.400000,0.309586,0.309835,0.309852,0.309528,0.309523,
0.116293,0.400000,0.400000,0.289944,0.290191,0.290208,0.289889,0.289891,
0.048878,0.400000,0.400000,0.261993,0.262239,0.262255,0.261936,0.261944,
0.038572,0.400000,0.400000,0.266097,0.266345,0.266361,0.266034,0.266040,
0.098176,0.400000,0.400000,0.295228,0.295478,0.295493,0.295165,0.295162,
0.146370,0.400000,0.400000,0.309581,0.309831,0.309847,0.309523,0.309519,
0.116314,0.400000,0.400000,0.289962,0.290211,0.290227,0.289908,0.289911,
0.048926,0.400000,0.400000,0.262024,0.262271,0.262287,0.261968,0.261976,
